default_auroc,default_auprc,default_f1_positive,default_f1_macro,default_balanced_accuracy,default_sensitivity,default_specificity,default_ppv,default_npv,default_tp,default_fp,default_tn,default_fn,default_brier_score,default_threshold_used,default_sens_at_90spec,default_sens_at_85spec,tuned_auroc,tuned_auprc,tuned_f1_positive,tuned_f1_macro,tuned_balanced_accuracy,tuned_sensitivity,tuned_specificity,tuned_ppv,tuned_npv,tuned_tp,tuned_fp,tuned_tn,tuned_fn,tuned_brier_score,tuned_threshold_used,tuned_sens_at_90spec,tuned_sens_at_85spec,cal_brier_score,cal_ece,cal_mce,val_fold,opt_threshold,n_train,n_val,n_pos_train,n_pos_val,n_features_selected,best_params,best_inner_auroc
0.906896551724138,0.8195032679738562,0.6666666666666666,0.7955182072829132,0.7741379310344827,0.6,0.9482758620689655,0.75,0.9016393442622951,9,3,55,6,0.08649049012769373,0.5,0.8,0.8,0.906896551724138,0.8195032679738562,0.75,0.8399122807017544,0.856896551724138,0.8,0.9137931034482759,0.7058823529411765,0.9464285714285714,12,5,53,3,0.08649049012769373,0.17385667140759647,0.8,0.8,0.08649049012769373,0.07801863446228555,0.6423483388546118,0,0.17385667140759647,290,73,61,15,29,"{'learning_rate': 0.1, 'l2_leaf_reg': 5, 'iterations': 200, 'depth': 4, 'border_count': 128}",0.9289687941117162
0.9413793103448276,0.8092166809484297,0.6875,0.799890350877193,0.8149425287356322,0.7333333333333333,0.896551724137931,0.6470588235294118,0.9285714285714286,11,6,52,4,0.08340370997376713,0.5,0.7333333333333333,0.9333333333333333,0.9413793103448276,0.8092166809484297,0.7567567567567568,0.8370939747086537,0.8977011494252873,0.9333333333333333,0.8620689655172413,0.6363636363636364,0.9803921568627451,14,8,50,1,0.08340370997376713,0.26452587858604676,0.7333333333333333,0.9333333333333333,0.08340370997376713,0.11150527417170278,0.3290163511102673,1,0.26452587858604676,290,73,61,15,33,"{'learning_rate': 0.05, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 6, 'border_count': 128}",0.9378554143980641
0.8771929824561404,0.7741215891951186,0.5833333333333334,0.7506830601092896,0.7099780701754386,0.4375,0.9824561403508771,0.875,0.8615384615384616,7,1,56,9,0.09757108506709299,0.5,0.75,0.75,0.8771929824561404,0.7741215891951186,0.7272727272727273,0.8238133547868061,0.831140350877193,0.75,0.9122807017543859,0.7058823529411765,0.9285714285714286,12,5,52,4,0.09757108506709299,0.20913407529349332,0.75,0.75,0.09757108506709299,0.03284013112924384,0.6245653296730602,2,0.20913407529349332,290,73,60,16,35,"{'learning_rate': 0.05, 'l2_leaf_reg': 10, 'iterations': 100, 'depth': 6, 'border_count': 32}",0.9446914700544465
0.9029239766081871,0.7101654947307121,0.6451612903225806,0.7739080787896089,0.7807017543859649,0.6666666666666666,0.8947368421052632,0.625,0.9107142857142857,10,6,51,5,0.10840525076811963,0.5,0.6,0.8,0.9029239766081871,0.7101654947307121,0.7368421052631579,0.8212512413108242,0.887719298245614,0.9333333333333333,0.8421052631578947,0.6086956521739131,0.9795918367346939,14,9,48,1,0.10840525076811963,0.13573013342573487,0.6,0.8,0.10840525076811963,0.12284607632011332,0.765508205154527,3,0.13573013342573487,291,72,61,15,34,"{'learning_rate': 0.05, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 6, 'border_count': 128}",0.9493295019157088
0.9321637426900584,0.8462277537277538,0.6086956521739131,0.7671577434423285,0.724561403508772,0.4666666666666667,0.9824561403508771,0.875,0.875,7,1,56,8,0.0850956420446281,0.5,0.8666666666666667,0.8666666666666667,0.9321637426900584,0.8462277537277538,0.7878787878787878,0.8624078624078624,0.8894736842105263,0.8666666666666667,0.9122807017543859,0.7222222222222222,0.9629629629629629,13,5,52,2,0.0850956420446281,0.20410319580145514,0.8666666666666667,0.8666666666666667,0.0850956420446281,0.08592926438040907,0.5775370027606803,4,0.20410319580145514,291,72,61,15,30,"{'learning_rate': 0.1, 'l2_leaf_reg': 3, 'iterations': 100, 'depth': 3, 'border_count': 32}",0.9195692175841904
