feature,mean_FN,mean_TP,std_FN,std_TP,mean_difference,cohen_d,abs_cohen_d
st_V1_rs_ratio_median,-1.2394175230374775,-0.8281229956280673,0.6254068474811146,0.774610807583809,-0.4112945274094102,-0.5698244754124645,0.5698244754124645
st_V1_rs_ratio_mean,-2.1756780825325714,-0.8868987205607155,3.546279518729033,0.863552003054964,-1.288779361971856,-0.5639710146553519,0.5639710146553519
morph_V1_t_amplitude_median,0.03682758620689652,0.046856382978723375,0.01523863390002923,0.020667372314992508,-0.010028796771826852,-0.533488047662191,0.533488047662191
st_V3_st_j80_j0_ratio_median,2.209291008667275,4.347839718791474,2.0768873732601576,4.949375544167654,-2.138548710124199,-0.5208300204778976,0.5208300204778976
st_V1_st_monotonicity_std,0.08164664230466102,0.10105362669082453,0.0407364081895398,0.03615554928222062,-0.019406984386163506,-0.5113301041695644,0.5113301041695644
st_V3_st_j40_j0_ratio_mean,1.1483160322961732,1.9233482473796848,1.0983119447430876,1.7428836237900958,-0.7750322150835116,-0.506146516887925,0.506146516887925
st_V3_st_j40_j0_ratio_max,2.197363627157013,3.704857576949145,2.1641637489811867,3.4445268369407085,-1.5074939497921318,-0.49842833515828167,0.49842833515828167
st_V3_st_j40_j0_ratio_median,1.049275907202992,1.8107069075911406,1.0226930209340686,1.784724269539828,-0.7614310003881486,-0.4940025554502736,0.4940025554502736
sq_V6_range,1.608862068965517,1.3407021276595745,0.6056185623344079,0.510960002385731,0.26815994130594256,0.4887181536819184,0.4887181536819184
st_V3_st_j80_j0_ratio_mean,2.568106641505598,4.607896985720533,2.351885621139924,4.9661495205452875,-2.0397903442149348,-0.48866849388080363,0.48866849388080363
st_V1_rs_ratio_min,-9.365899977320163,-1.7795822757723825,25.916717860589593,2.384708598497605,-7.586317701547781,-0.47259408411905085,0.47259408411905085
morph_V1_t_amplitude_mean,0.03962628945879448,0.04952408373195867,0.018099302344652103,0.022621936556043866,-0.009897794273164194,-0.4707543315744452,0.4707543315744452
sq_V6_max,1.2998620689655174,1.0730425531914893,0.5450768831653354,0.4592583733677317,0.22681951577402804,0.4596247277976674,0.4596247277976674
st_V1_st_monotonicity_min,0.6175548589341693,0.5029013539651837,0.2757195414081006,0.23411447653598078,0.11465350496898563,0.4573875668105435,0.4573875668105435
st_V1_st_slope_j0_j40_min,-0.0028905172413793002,-0.0018063829787233637,0.0033827109473247795,0.0015049604865554583,-0.0010841342626559365,-0.4526036288505879,0.4526036288505879
sq_I_mean,0.026634712643678116,0.021241081560283648,0.010821969763542136,0.012844007824472892,0.005393631083394468,0.4450684488850078,0.4450684488850078
st_V1_rs_ratio_std,2.3232830519776053,0.44321101495341986,6.821890198903945,0.632660183557149,1.8800720370241855,0.4448974017596864,0.4448974017596864
st_V1_st_slope_j0_j40_mean,-0.0015053218600758862,-0.0006952048748940093,0.0019309386375881716,0.0018375054555543789,-0.0008101169851818769,-0.43242986594757715,0.43242986594757715
st_V1_st_slope_j0_j40_median,-0.001501293103448245,-0.0006199468085106213,0.0021735710348182195,0.001960212041379851,-0.0008813462949376238,-0.4312790529823656,0.4312790529823656
st_V3_st_j20_std,0.026239960573024197,0.020212425678477353,0.018985308245333225,0.009955743774327229,0.006027534894546844,0.4283619305431969,0.4283619305431969
st_V3_st_j40_j0_ratio_std,0.49080801686591335,0.8928136161022245,0.6188540220129495,1.093282551790916,-0.4020055992363112,-0.4266250753960727,0.4266250753960727
sq_V1_noise_energy,6.116216369955942e-05,2.5259491665891346e-05,0.00012530328741381045,4.472088663860417e-05,3.590267203366808e-05,0.4235849182882814,0.4235849182882814
st_V1_rs_ratio_max,-0.7673754985906188,-0.2122392108237558,0.31474857169905057,1.6566651253077411,-0.5551362877668631,-0.4204191153680751,0.4204191153680751
sq_V6_std,0.19297837152784095,0.16649941853453507,0.06835161541375899,0.05983126920212583,0.026478952993305882,0.41903417316400504,0.41903417316400504
sq_V5_snr_proxy,2587.1652423823266,1536.7951682148184,3125.955974001721,2100.818038102279,1050.3700741675082,0.4138764819476364,0.4138764819476364
sq_V6_rms,0.19910918292233679,0.17218096224728144,0.07093563964187347,0.06217398216898413,0.026928220675055348,0.4103228176651351,0.4103228176651351
sq_aVL_baseline_drift,2.1929217902786922e-05,7.039620637082174e-06,5.887931782290252e-05,8.855089752250387e-06,1.4889597265704748e-05,0.40367738885376103,0.40367738885376103
