feature,mean_abs_shap,mean_shap,std_shap,shap_rank
morph_V1_t_amplitude_std,0.16922768395370993,-0.0019330972199874757,0.19553158521992353,1
morph_V2_trough_depth_between_humps_min,0.16544787590376536,0.003108514461630407,0.1906725216689376,2
st_V1_st_slope_j20_j80_min,0.14228199295956154,-0.013063669150423248,0.1846530567561082,3
st_V2_st_convexity_max,0.1413938278132554,0.006512882982748847,0.17266857387327755,4
st_V2_st_curvature_sign_mean,0.1291164158222415,0.01856359269460036,0.1672487593706589,5
morph_V2_saddleback_score_max,0.11266502783578443,0.00047539418454044626,0.1638670523450757,6
morph_V3_t_amplitude_min,0.09884336120118678,-0.007245091327033758,0.12768068271575958,7
morph_V1_t_amplitude_n_valid,0.09491579231094131,0.0073465498454083926,0.120256586386991,8
st_V1_st_curvature_sign_n_valid,0.09270604260229905,0.0043943903230890275,0.13287169599111207,9
st_V3_st_area_above_baseline_n_valid,0.09032959357428055,0.004018678091993676,0.15222875679683845,10
st_V3_st_curvature_sign_mean,0.08542334505572358,0.01609208953214074,0.13050601887361585,11
sq_V4_snr_proxy,0.08288849878146698,0.0009434760978814786,0.09206293494380295,12
st_V1_st_curvature_sign_min,0.08272317256121033,0.0027430743671576756,0.09903344186710508,13
st_V3_st_slope_j20_j80_min,0.08030770426163236,-0.00197410481300761,0.09338531085028567,14
morph_V3_t_amplitude_n_valid,0.07984239066007785,-0.0008303896874829352,0.12073498408990652,15
morph_V2_t_inversion_indicator_n_valid,0.07810299553302273,-0.0179805808784004,0.1153744257688035,16
st_V1_st_j40_median,0.07707391583586504,0.005733153212253648,0.11764203964818738,17
st_V3_st_area_above_baseline_std,0.07478649991119313,0.001080999846028863,0.11005945003881358,18
sq_V5_snr_proxy,0.06988745822106836,0.003631333815980674,0.07942373499884708,19
morph_V3_second_hump_present_min,0.06884941022980381,0.0017830893560184407,0.11679487392878021,20
st_V3_st_j40_j0_ratio_mean,0.06865799228046293,-0.002596510769119482,0.15450707057465002,21
sq_V4_noise_energy,0.06858444198265609,0.0016716111972979312,0.11015798709643211,22
st_V1_s_amplitude_mean,0.06857809248041698,0.003100978321993607,0.09621858899904276,23
st_V2_st_j20_max,0.06786637818944935,0.008064904427553502,0.08116202525166,24
morph_V1_trough_depth_between_humps_n_valid,0.06707116280975503,-0.0003550127670156253,0.07890170912594276,25
st_V2_st_convexity_min,0.06632359059483897,0.01270705329346633,0.08997145406854203,26
sq_II_noise_energy,0.064689165485552,0.004768468504842134,0.08021957362716003,27
st_V3_st_area_above_baseline_max,0.06289320016156663,0.0036916143547220115,0.07820735592838036,28
st_V1_st_slope_j0_j40_min,0.06218403780848918,0.0061052102839622814,0.10083633683463857,29
morph_V2_t_peak_value_max,0.059936325413318566,-0.006059786622340638,0.10031715507883689,30
morph_V2_trough_depth_between_humps_n_valid,0.059898987810573824,-0.00220041386300785,0.09278327075233185,31
st_V2_st_convexity_mean,0.059119603409869284,0.0016787138815966649,0.08969014111616726,32
st_V1_st_slope_j0_j40_std,0.056814902330653776,0.000853662856728773,0.08182880823804213,33
st_V1_st_j20_median,0.05659961267713117,0.0032383330566834235,0.09268540718356554,34
morph_V3_t_amplitude_mean,0.05618657874890162,-0.009614936702271546,0.10323680723601017,35
morph_V3_high_takeoff_gt_2mm_std,0.05586119039197122,-0.0044656107152142455,0.07826722995720856,36
st_V1_st_j80_median,0.05444380542238371,0.0016280034938172805,0.08573468013090615,37
morph_V1_high_takeoff_gt_2mm_max,0.053353853252557266,0.0001885023869486869,0.08210069206589264,38
st_V1_st_j80_j0_ratio_max,0.05329930946497711,0.0037545080983770185,0.09860684575681777,39
morph_V1_second_hump_present_n_valid,0.051103083711353504,0.001245012395975475,0.06992835749907882,40
st_V2_st_j60_mean,0.04903965903107412,-0.000347456854432003,0.06708371703758774,41
morph_V3_saddleback_score_max,0.04885173444763161,-0.0014844771341315686,0.06813716026380416,42
st_V2_high_takeoff_gt_1mm_mean,0.04850463912352793,-0.004285877097305677,0.08139447807729548,43
morph_V1_second_hump_present_std,0.0482339819310779,0.004371355725304784,0.06596413479883649,44
morph_V1_t_amplitude_max,0.048200053203101806,0.010498310724432402,0.07977680163819839,45
morph_V2_high_takeoff_gt_1mm_mean,0.04666731588080646,-0.00014233826585217412,0.0711256019631111,46
st_V1_st_j20_mean,0.04624935538179594,-0.0017741061115673414,0.07611934620143734,47
sq_II_max,0.04528927317569054,0.005621936740251086,0.06268291911309407,48
morph_V3_t_mean_max,0.04478934316703474,0.0027642803420838847,0.06429663500010707,49
st_V1_st_area_above_baseline_n_valid,0.04478066271736691,0.00850409432735097,0.06052097509102796,50
morph_V2_t_peak_value_median,0.04438516057966168,0.006409390951216874,0.06843475911462972,51
morph_V3_high_takeoff_gt_2mm_min,0.043741318586977676,-0.0009061085426610303,0.05681450592988251,52
st_V2_j_point_amplitude_max,0.043590542157417894,0.0017730099825539877,0.06821105166351718,53
morph_V2_t_amplitude_std,0.04346063579096566,-0.0046906640641801835,0.05980261217591897,54
morph_V1_t_amplitude_median,0.0433663629870329,0.0010310120728237741,0.0653706423752386,55
sq_aVF_rms,0.04312178671084209,0.003707559174914462,0.09113039747722308,56
morph_V3_t_amplitude_std,0.04169946612954424,0.001710952883201447,0.06772789619055342,57
sq_III_snr_proxy,0.04065001285668284,0.0035179737824998073,0.06373679096128358,58
st_V3_st_j20_min,0.04056228121763128,0.007510322438727441,0.06155993144922762,59
st_V3_rs_ratio_n_valid,0.040516961862059844,0.0009914770567617612,0.07112487677503695,60
st_V1_st_j40_mean,0.03980590375359669,0.0018019638446444518,0.07232286890035511,61
sq_V4_mean,0.03966848433470561,0.000700101299152367,0.0633868602098523,62
sq_V2_max,0.03908004131173253,0.0006576253124833049,0.06793100335355275,63
morph_V1_covedness_score_min,0.03770188530309241,0.0033940443584628776,0.06288221156509043,64
st_V1_st_curvature_sign_mean,0.037608784262678406,-0.0010055825068967016,0.053323802974814316,65
st_V1_st_curvature_sign_std,0.03728299617161844,0.0007624053588706638,0.07979162417543167,66
sq_aVF_noise_energy,0.0363945396357413,-0.004039282141248214,0.05108763223625866,67
rr_std_ms,0.03606126499836928,0.00402808919692664,0.0586718098646478,68
morph_V1_high_takeoff_gt_2mm_std,0.03507211140458296,0.0018691199246316686,0.050296352066756034,69
st_V2_st_convexity_std,0.035035096088978486,0.006982243052676063,0.0807238313604789,70
morph_V1_high_takeoff_gt_2mm_median,0.03490887554562533,0.0024825726492592112,0.06107353134361297,71
st_V2_st_convexity_median,0.034533658907184295,0.00041652600818441047,0.06498742846171152,72
st_V3_st_j20_n_valid,0.03433499313075059,0.0008122405220469748,0.045576294984224615,73
morph_V2_t_peak_value_n_valid,0.0341240766631906,0.0022511315717523616,0.06496286549685823,74
st_V3_st_j80_std,0.03400501754440842,-0.0030696783332120883,0.07294616428727506,75
morph_V2_saddleback_score_std,0.03375274067573994,-0.0015017457596172635,0.0479263774009404,76
st_V1_st_j80_mean,0.033740287554782554,0.010301100700322715,0.07752227198295283,77
sq_aVF_mean,0.03328564664967913,0.0023786535396974257,0.07402068972709852,78
st_V1_st_j80_j0_ratio_std,0.03278996856559895,0.0054706381172064875,0.05349457139718592,79
morph_V3_trough_depth_between_humps_max,0.03271969499210144,0.00462910248726071,0.05164788285489988,80
st_V3_st_j40_std,0.03266091271106039,0.0006292326093623188,0.05165947969189086,81
st_V2_st_monotonicity_mean,0.032573614393126143,-9.465808054617119e-05,0.07125478920895145,82
morph_V2_t_peak_value_std,0.03192686468830712,-0.003872276836561702,0.04885174414061534,83
morph_V2_high_takeoff_gt_2mm_max,0.03185083147153749,-0.003944848700382912,0.08112337559220215,84
st_V2_s_amplitude_mean,0.03136808304497124,0.0020210097532991373,0.07936815406620976,85
st_V2_st_j40_min,0.031138421536805492,0.0022841623610722114,0.04317862971967225,86
sq_V6_max,0.03107940345822983,-0.002597638661857736,0.05853959203757826,87
morph_V1_t_polarity_min,0.031030298438148928,0.002147757925308667,0.04688335047108597,88
morph_V2_saddleback_score_min,0.030149225105670037,-0.003428528239378411,0.05294392442672596,89
morph_V1_second_hump_present_mean,0.030116803030067776,0.001552268337091482,0.0635356501939905,90
st_V1_st_j40_max,0.029309794015197194,0.0023113551699959186,0.050738169186679095,91
st_V1_st_j20_max,0.02924887582392893,0.000185853214806184,0.0460202317690022,92
st_V2_high_takeoff_gt_2mm_std,0.028873765153127895,0.003403701234927025,0.05053609810083837,93
sq_V1_min,0.028486147161249874,0.00011598818427460865,0.05266121322531047,94
st_V2_st_curvature_sign_min,0.02833698210542499,0.003607191263926389,0.04499635350503613,95
morph_V1_saddleback_score_mean,0.02765677804876497,-0.0019208691017214773,0.05905479250374273,96
morph_V3_second_hump_present_std,0.027620291574332146,-0.003657311026735575,0.05621980146495783,97
morph_V3_trough_depth_between_humps_n_valid,0.027598874010812707,0.0024431988050437636,0.05246917063264339,98
st_V1_st_slope_j0_j40_mean,0.026999004109565027,-0.0035190373198347247,0.04422242424468597,99
morph_V1_high_takeoff_gt_1mm_min,0.02566473907000862,0.004570101875498819,0.05049154180498388,100
