feature,native_importance_mean,native_importance_std
morph_V1_t_amplitude_std,2.5157707634013264,1.18035401383221
morph_V3_t_amplitude_min,1.850630881083641,1.0583311685665464
st_V2_st_curvature_sign_mean,1.8177710335914163,1.131989538753385
morph_V2_trough_depth_between_humps_min,1.7767315697315205,0.6135653907810258
st_V3_st_area_above_baseline_n_valid,1.5967319423186341,1.57711853862902
st_V2_st_convexity_max,1.5492794543153692,1.0462321162272796
st_V1_st_slope_j20_j80_min,1.4160099733151987,1.2862092286038056
morph_V3_t_amplitude_n_valid,1.3442509732617078,0.6316136647181546
morph_V1_t_amplitude_n_valid,1.3422273207696596,0.7396538101074197
st_V1_st_curvature_sign_n_valid,1.3049939506147692,0.9456058018994801
morph_V2_saddleback_score_max,1.259083935431847,0.715393870475431
st_V1_st_curvature_sign_min,1.2454971091719265,0.6721793830134123
st_V3_st_area_above_baseline_std,1.0448251577123358,0.7234230877320872
morph_V2_t_inversion_indicator_n_valid,1.0117370546145195,0.8152833864170022
morph_V3_t_amplitude_mean,0.985693472838228,1.7342881994276587
st_V3_st_j40_j0_ratio_mean,0.9418107339483612,1.3544347977752984
st_V3_st_curvature_sign_mean,0.9359859433415657,1.0825477999028865
morph_V2_t_peak_value_max,0.934554204461661,1.1197118484405753
st_V1_st_j40_median,0.9317688427642375,1.1737011309557805
st_V1_st_j80_j0_ratio_max,0.8637404809109119,1.2939535577553436
st_V2_st_convexity_mean,0.8466299866521988,1.1938814334359398
st_V1_st_j20_median,0.8355802063728921,1.1599779617162425
morph_V1_second_hump_present_std,0.831222190383135,0.5823415972667306
st_V2_high_takeoff_gt_1mm_mean,0.8296259478950514,1.1801543942341237
morph_V3_second_hump_present_min,0.768434563404602,0.9778634621456622
st_V2_st_convexity_min,0.7599465661871163,0.6409846556805425
morph_V1_second_hump_present_n_valid,0.7584301254178315,0.676514292836533
st_V1_st_j20_mean,0.7147502998515791,1.0343990294130745
morph_V1_t_amplitude_median,0.6945387573085836,0.7153331550117012
morph_V3_t_amplitude_std,0.6914242077425036,0.7233752628765249
st_V3_st_slope_j20_j80_min,0.6891867086089115,0.2795238707099225
sq_V4_snr_proxy,0.6888806295673577,0.305197710277937
st_V1_st_slope_j0_j40_min,0.6813497284442568,0.9254734728896062
st_V2_st_j20_max,0.6813488272854732,0.565107823031163
sq_II_noise_energy,0.668304599187019,0.4997422493724087
morph_V2_trough_depth_between_humps_n_valid,0.6657705597817882,0.8298224610981172
