feature,mean_abs_shap_brugada,mean_abs_shap_normal,mean_shap_brugada,mean_shap_normal,class_differential
morph_V1_t_amplitude_std,0.20455530724524956,0.15987263388347656,0.155020790480837,-0.04349579918954379,0.044682673361773007
st_V2_st_curvature_sign_mean,0.1969427825691865,0.11115542671852098,0.15910729892211845,-0.018653555992826032,0.0857873558506655
st_V3_st_area_above_baseline_n_valid,0.16617745664257147,0.0702444451659527,0.10793706074468847,-0.02349977863833668,0.09593301147661877
morph_V1_t_amplitude_n_valid,0.1574654298618215,0.07835212522429714,0.12132840286591089,-0.022836797992773453,0.07911330463752435
morph_V2_trough_depth_between_humps_min,0.15402779626439475,0.16847200849119476,0.06194618095558034,-0.012472191648265747,-0.014444212226800007
morph_V3_t_amplitude_n_valid,0.14798699597783668,0.06179712932157726,0.0910807770677983,-0.025169235239404068,0.08618986665625943
st_V2_st_convexity_max,0.1332829972412314,0.14354164357448812,0.06078582502380748,-0.007859045920109881,-0.01025864633325671
st_V1_st_curvature_sign_n_valid,0.12502197188637706,0.08414851429013918,0.07714786304069048,-0.01487133764394133,0.04087345759623788
st_V1_st_slope_j20_j80_min,0.1247365920891446,0.14692816183117022,0.03773409257679686,-0.026515341245436225,-0.022191569742025616
st_V3_st_area_above_baseline_std,0.12134382511244003,0.06245773086835427,0.08304259337013047,-0.020623115512269825,0.05888609424408576
morph_V3_t_amplitude_min,0.11141838324504386,0.09551339020699483,0.08157821999001928,-0.030766246937124424,0.01590499303804903
st_V1_st_curvature_sign_min,0.11041995195230758,0.07538883376774888,0.07160794600580918,-0.015492919516248307,0.0350311181845587
morph_V2_t_peak_value_max,0.10338085927651262,0.04843184954710696,0.06841320714588572,-0.02578085814284659,0.05494900972940566
morph_V2_saddleback_score_max,0.09767257393146313,0.11663515500208547,0.043490923510720356,-0.01091547769277548,-0.018962581070622347
st_V3_st_curvature_sign_mean,0.08644821842945499,0.08515195001598991,0.032711055826818505,0.011691248283375887,0.0012962684134650848
sq_V4_snr_proxy,0.08592920750976957,0.08208329368268294,0.03615042975144825,-0.008379619643132715,0.0038459138270866278
st_V1_st_j40_median,0.08242333988986883,0.07565734361250515,0.04913854701557857,-0.005760958038801037,0.006765996277363684
st_V2_st_convexity_min,0.08156641276412346,0.06228716381830373,0.06367717904216415,-0.000790262235805564,0.019279248945819734
morph_V3_t_amplitude_mean,0.07960538389510474,0.04998508330948896,0.03992257938750921,-0.022732885213851108,0.02962030058561578
morph_V2_t_inversion_indicator_n_valid,0.07822931806774391,0.0780695442694729,-0.005277697523124525,-0.021344410617079704,0.0001597737982710068
