group,n_features,total_mean_abs_shap,mean_per_feature
ST_features,342,3.7888241059542684,0.011078433058345815
Morphology,216,3.063939687586302,0.014184905961047696
Signal_quality,108,1.3608570011710435,0.012600527788620773
HR_RR,4,0.06018595499475285,0.015046488748688212
Cross_lead,2,0.0316033588785494,0.0158016794392747
